Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
dardgo-herbal-pain-relief-massage-oil,DARDGO Herbal Pain Relief Massage Oil,"<p>DARDGO Herbal Pain Relief Massage Oil combines time-tested ingredients like mustard oil, clove oil, peppermint, and camphor for effective relief from joint pain, muscle pain, and body aches. 100% Ayurvedic and chemical-free.</p>",DARDGO,,Pain Relief Oil,"pain-relief, ayurvedic, joint-pain, muscle-pain, best-seller, category-pain-relief-oils",TRUE,Title,Default Title,DARDGO-HERBAL-PAIN-RELIE,100,shopify,100,deny,manual,100.00,,TRUE,TRUE,,,,FALSE,DARDGO Herbal Pain Relief Massage Oil,"DARDGO Herbal Pain Relief Massage Oil combines time-tested ingredients like mustard oil, clove oil, peppermint, and camphor for effective relief from joint pain",active
dardgo-ayurvedic-pain-relief-roll-on,DARDGO Ayurvedic Pain Relief Roll-On — Joint & Muscle Care,"<p>DARDGO Advanced Ayurvedic Pain Relief Roll-On is a herbal wellness solution for quick, on-the-go relief from joint pain, knee pain, and muscle soreness. Easy to apply, non-greasy, and travel-friendly.</p>",DARDGO,,Pain Relief Roll-On,"pain-relief, roll-on, joint-care, ayurvedic, category-pain-relief-oils",TRUE,Title,Default Title,DARDGO-AYURVEDIC-PAIN-RE,100,shopify,0,deny,manual,150.00,,TRUE,TRUE,,,,FALSE,DARDGO Ayurvedic Pain Relief Roll-On — Joint & Muscle Care,"DARDGO Advanced Ayurvedic Pain Relief Roll-On is a herbal wellness solution for quick, on-the-go relief from joint pain, knee pain, and muscle soreness. Easy to",active
dardgo-ayurvedic-hair-oil,"DARDGO Ayurvedic Hair Oil for Hair Fall, Dandruff & Thickness","<p>100% Ayurvedic hair oil for hair fall control, dandruff reduction, shine, and thickness. Crafted with traditional herbs to nourish the scalp and strengthen roots.</p>",DARDGO,,Hair Oil,"hair-care, ayurvedic, anti-dandruff, hair-fall, category-pain-relief-oils, category-ayurvedic-beauty",TRUE,Title,Default Title,DARDGO-AYURVEDIC-HAIR-OI,100,shopify,80,deny,manual,200.00,,TRUE,TRUE,,,,FALSE,"DARDGO Ayurvedic Hair Oil for Hair Fall, Dandruff & Thickness","100% Ayurvedic hair oil for hair fall control, dandruff reduction, shine, and thickness. Crafted with traditional herbs to nourish the scalp and strengthen root",active
dardgo-ayurvedic-sciatica-tablets,DARDGO Ayurvedic Sciatica Tablets for Joint Comfort,"<p>DARDGO Ayurvedic Tablets are formulated with natural herbal ingredients to provide gentle support for sciatica, nerve pain, and joint discomfort.</p>",DARDGO,,Ayurvedic Tablet,"sciatica, joint-pain, tablets, nerve-pain, category-ayurvedic-tablets",TRUE,Title,Default Title,DARDGO-AYURVEDIC-SCIATIC,100,shopify,100,deny,manual,200.00,,TRUE,TRUE,,,,FALSE,DARDGO Ayurvedic Sciatica Tablets for Joint Comfort,"DARDGO Ayurvedic Tablets are formulated with natural herbal ingredients to provide gentle support for sciatica, nerve pain, and joint discomfort.",active
dardgo-dissolve-boll-tablets,DARDGO Dissolve Boll Tablets — Ayurvedic Bone Care,"<p>Ayurvedic Dissolve Boll Tablets provide a gentle, natural approach to bone and joint health. Crafted with herbal ingredients for everyday wellness.</p>",DARDGO,,Ayurvedic Tablet,"bone-care, joint-care, tablets, category-ayurvedic-tablets",TRUE,Title,Default Title,DARDGO-DISSOLVE-BOLL-TAB,100,shopify,75,deny,manual,200.00,,TRUE,TRUE,,,,FALSE,DARDGO Dissolve Boll Tablets — Ayurvedic Bone Care,"Ayurvedic Dissolve Boll Tablets provide a gentle, natural approach to bone and joint health. Crafted with herbal ingredients for everyday wellness.",active
dardgo-ayurvedic-stone-free-tablets,DARDGO Ayurvedic Stone Free Tablets for Kidney Support,<p>Ayurvedic Stone Free Tablets — Herbal support for kidney and urinary wellness. Made from time-tested Ayurvedic herbs.</p>,DARDGO,,Ayurvedic Tablet,"kidney-care, urinary-health, tablets, category-ayurvedic-tablets",TRUE,Title,Default Title,DARDGO-AYURVEDIC-STONE-F,100,shopify,50,deny,manual,200.00,,TRUE,TRUE,,,,FALSE,DARDGO Ayurvedic Stone Free Tablets for Kidney Support,Ayurvedic Stone Free Tablets — Herbal support for kidney and urinary wellness. Made from time-tested Ayurvedic herbs.,active
dardgo-ayurvedic-skin-glow-syrup,DARDGO Ayurvedic Skin Glow Syrup — Natural Blood Purifier,"<p>DARDGO Skin Glow Syrup is a natural Ayurvedic blood purifier formulated for healthy, radiant skin. Combines traditional herbs to support clear and glowing skin from within.</p>",DARDGO,,Ayurvedic Syrup,"beauty, skin-care, blood-purifier, syrup, category-ayurvedic-beauty",TRUE,Title,Default Title,DARDGO-AYURVEDIC-SKIN-GL,100,shopify,60,deny,manual,200.00,,TRUE,TRUE,,,,FALSE,DARDGO Ayurvedic Skin Glow Syrup — Natural Blood Purifier,"DARDGO Skin Glow Syrup is a natural Ayurvedic blood purifier formulated for healthy, radiant skin. Combines traditional herbs to support clear and glowing skin ",active
dardgo-anti-itch-free-cream,DardGo Anti-Itch Free Cream — Ayurvedic Relief,<p>Natural Ayurvedic Itch Free Cream. DardGo Anti-Itch Cream is crafted with herbal ingredients to soothe itchy skin and bring quick comfort.</p>,DARDGO,,Ayurvedic Cream,"skin-care, anti-itch, ayurvedic, topical, category-ayurvedic-beauty",TRUE,Title,Default Title,DARDGO-ANTI-ITCH-FREE-CR,100,shopify,70,deny,manual,200.00,,TRUE,TRUE,,,,FALSE,DardGo Anti-Itch Free Cream — Ayurvedic Relief,Natural Ayurvedic Itch Free Cream. DardGo Anti-Itch Cream is crafted with herbal ingredients to soothe itchy skin and bring quick comfort.,active
onion-hair-fall-control-shampoo,Onion Hair Fall Control Shampoo — Boosts Hair Thickness,"<p>Onion Hair Fall Control Shampoo. Tired of hair fall, breakage, and thinning? This Ayurvedic shampoo with onion extract helps reduce hair fall and boost thickness naturally.</p>",DARDGO,,Shampoo,"hair-care, anti-hair-fall, onion, shampoo, category-ayurvedic-beauty",TRUE,Title,Default Title,ONION-HAIR-FALL-CONTROL-,100,shopify,50,deny,manual,285.00,370.00,TRUE,TRUE,,,,FALSE,Onion Hair Fall Control Shampoo — Boosts Hair Thickness,"Onion Hair Fall Control Shampoo. Tired of hair fall, breakage, and thinning? This Ayurvedic shampoo with onion extract helps reduce hair fall and boost thicknes",active
dardgo-ayurvedic-extra-power-halwa,DARDGO Ayurvedic Extra Power Halwa — Natural Energy,"<p>Ayurvedic Extra Power Halwa is a carefully crafted blend of traditional herbs designed to support stamina, vitality, and natural energy.</p>",DARDGO,,Ayurvedic Halwa,"energy, stamina, halwa, ayurvedic, category-ayurvedic-halwa",TRUE,Title,Default Title,DARDGO-AYURVEDIC-EXTRA-P,100,shopify,40,deny,manual,600.00,,TRUE,TRUE,,,,FALSE,DARDGO Ayurvedic Extra Power Halwa — Natural Energy,"Ayurvedic Extra Power Halwa is a carefully crafted blend of traditional herbs designed to support stamina, vitality, and natural energy.",active
