Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Onion Hair Fall Control Shampoo | Boosts Hair Thickness | Reduces Breakage | Prevents Hair Loss | Adds Shine | Shampoo for Women & Men | 200 ml,onion-hair-fall-control-shampoo-boosts-hair-thickness-reduces-breakage-prevents-hair-loss-adds-s,<p>Onion Hair Fall Control Shampoo | Boosts Hair Thickness | Reduces Breakage | Prevents Hair Loss | Adds Shine | Shampoo for Women & Men | 200 ml</p>,DARDGO,Health & Beauty > Personal Care > Hair Care > Shampoo & Conditioner > Shampoo,Shampoo,"Ayurvedic, csv-import, category-ayurvedic-beauty",TRUE,Active,ALISV-ONISHAM-100ML,,Size,100 ML,,,,,,,,285.00,,,TRUE,,,,,,shopify,50,DENY,400,g,TRUE,manual,,,,,FALSE,Onion Hair Fall Control Shampoo | Boosts Hair Thickness | Reduces Brea,Onion Hair Fall Control Shampoo | Boosts Hair Thickness | Reduces Breakage | Prevents Hair Loss | Adds Shine | Shampoo for Women & Men | 200 ml,,,,,,,,,,,,,,
"DARDGO Ayurvedic Extra Power Capsules - Natural Energy & Vitality Booster | Herbal Supplement for Strength, Stamina & Overall Wellness",dardgo-ayurvedic-extra-power-capsules-natural-energy-vitality-booster-herbal-supplement-for-stre,"<p>DARDGO Ayurvedic Extra Power Capsules - Natural Energy & Vitality Booster | Herbal Supplement for Strength, Stamina & Overall Wellness</p>",DARDGO,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements > Herbal Supplements,Capsule,"Ayurvedic, csv-import, category-ayurvedic-capsules",TRUE,Active,DGEPC-12TB,,Qty,12 CAP,,,,,,,,200.00,,,TRUE,,,,,,shopify,50,DENY,400,g,TRUE,manual,,,,,FALSE,DARDGO Ayurvedic Extra Power Capsules - Natural Energy & Vitality Boos,"DARDGO Ayurvedic Extra Power Capsules - Natural Energy & Vitality Booster | Herbal Supplement for Strength, Stamina & Overall Wellness",,,,,,,,,,,,,,
DARDGO Dissolve Boll Tablets -  Ayurvedic Bone Comfort & Detox Support,dardgo-dissolve-boll-tablets-ayurvedic-bone-comfort-detox-support,<p>DARDGO Dissolve Boll Tablets -  Ayurvedic Bone Comfort & Detox Support</p>,DARDGO,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements > Herbal Supplements,Tablets,"Ayurvedic, csv-import, category-ayurvedic-tablets",TRUE,Active,DGSBT-30TB,,Qty,30 Tab,,,,,,,,200.00,,,TRUE,,,,,,shopify,50,DENY,400,g,TRUE,manual,,,,,FALSE,DARDGO Dissolve Boll Tablets -  Ayurvedic Bone Comfort & Detox Support,DARDGO Dissolve Boll Tablets -  Ayurvedic Bone Comfort & Detox Support,,,,,,,,,,,,,,
DARDGO Ayurvedic Stone Free Tablets for Kidney Stone Care & Urinary Tract Wellness,dardgo-ayurvedic-stone-free-tablets-for-kidney-stone-care-urinary-tract-wellness,<p>DARDGO Ayurvedic Stone Free Tablets for Kidney Stone Care & Urinary Tract Wellness</p>,DARDGO,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements > Herbal Supplements,Tablets,"Ayurvedic, csv-import, category-ayurvedic-tablets",TRUE,Active,DGSFT-30TB,,Qty,30 Tab,,,,,,,,200.00,,,TRUE,,,,,,shopify,50,DENY,400,g,TRUE,manual,,,,,FALSE,DARDGO Ayurvedic Stone Free Tablets for Kidney Stone Care & Urinary Tr,DARDGO Ayurvedic Stone Free Tablets for Kidney Stone Care & Urinary Tract Wellness,,,,,,,,,,,,,,
DARDGO Immunity Booster 9 in 1 Halwa - Ayurvedic Herbal Formula for Wellness & Vitality,dardgo-immunity-booster-9-in-1-halwa-ayurvedic-herbal-formula-for-wellness-vitality,<p>DARDGO Immunity Booster 9 in 1 Halwa - Ayurvedic Herbal Formula for Wellness & Vitality</p>,DARDGO,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements > Herbal Supplements,Malt,"Ayurvedic, csv-import, category-ayurvedic-halwa",TRUE,Active,DG9IN1H-225 G,,Size,225 G,,,,,,,,300.00,,,TRUE,,,,,,shopify,50,DENY,400,g,TRUE,manual,,,,,FALSE,DARDGO Immunity Booster 9 in 1 Halwa - Ayurvedic Herbal Formula for We,DARDGO Immunity Booster 9 in 1 Halwa - Ayurvedic Herbal Formula for Wellness & Vitality,,,,,,,,,,,,,,
DARDGO Ayurvedic Dama Swas Halwa -  Natural Respiratory Wellness & Lung Support | Herbal Breathing Aid,dardgo-ayurvedic-dama-swas-halwa-natural-respiratory-wellness-lung-support-herbal-breathing-aid,<p>DARDGO Ayurvedic Dama Swas Halwa -  Natural Respiratory Wellness & Lung Support | Herbal Breathing Aid</p>,DARDGO,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements > Herbal Supplements,Malt,"Ayurvedic, csv-import, category-ayurvedic-halwa",TRUE,Active,DGDSH-200 G,,Size,200 G,,,,,,,,300.00,,,TRUE,,,,,,shopify,50,DENY,400,g,TRUE,manual,,,,,FALSE,DARDGO Ayurvedic Dama Swas Halwa -  Natural Respiratory Wellness & Lun,DARDGO Ayurvedic Dama Swas Halwa -  Natural Respiratory Wellness & Lung Support | Herbal Breathing Aid,,,,,,,,,,,,,,
DARDGO Ayurvedic Piles Fighter Halwa - Natural Herbal Remedy for Hemorrhoid Relief & Digestive Wellness,dardgo-ayurvedic-piles-fighter-halwa-natural-herbal-remedy-for-hemorrhoid-relief-digestive-welln,<p>DARDGO Ayurvedic Piles Fighter Halwa - Natural Herbal Remedy for Hemorrhoid Relief & Digestive Wellness</p>,DARDGO,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements > Herbal Supplements,Malt,"Ayurvedic, csv-import, category-ayurvedic-halwa",TRUE,Active,DGPFH-150 G,,Size,150 G,,,,,,,,300.00,,,TRUE,,,,,,shopify,50,DENY,400,g,TRUE,manual,,,,,FALSE,DARDGO Ayurvedic Piles Fighter Halwa - Natural Herbal Remedy for Hemor,DARDGO Ayurvedic Piles Fighter Halwa - Natural Herbal Remedy for Hemorrhoid Relief & Digestive Wellness,,,,,,,,,,,,,,
DARDGO Ayurvedic Extra Power Halwa -  Natural Energy & Vitality Booster,dardgo-ayurvedic-extra-power-halwa-natural-energy-vitality-booster,<p>DARDGO Ayurvedic Extra Power Halwa -  Natural Energy & Vitality Booster</p>,DARDGO,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements > Herbal Supplements,Malt,"Ayurvedic, csv-import, category-ayurvedic-halwa",TRUE,Active,DGEPH-225G,,Size,225 G,,,,,,,,600.00,,,TRUE,,,,,,shopify,50,DENY,400,g,TRUE,manual,,,,,FALSE,DARDGO Ayurvedic Extra Power Halwa -  Natural Energy & Vitality Booste,DARDGO Ayurvedic Extra Power Halwa -  Natural Energy & Vitality Booster,,,,,,,,,,,,,,
DARDGO Golden Powder | Weight Management | Digestion |  Obesity Control | Gastric Problems,dardgo-golden-powder-weight-management-digestion-obesity-control-gastric-problems,<p>DARDGO Golden Powder | Weight Management | Digestion |  Obesity Control | Gastric Problems</p>,DARDGO,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements > Herbal Supplements,Powder,"Ayurvedic, csv-import, category-ayurvedic-powder",TRUE,Active,DGGP-100G,,Size,100 G,,,,,,,,200.00,,,TRUE,,,,,,shopify,50,DENY,400,g,TRUE,manual,,,,,FALSE,DARDGO Golden Powder | Weight Management | Digestion |  Obesity Contro,DARDGO Golden Powder | Weight Management | Digestion |  Obesity Control | Gastric Problems,,,,,,,,,,,,,,
"DARDGO Ayurvedic Hair Oil for Hair Fall, Dandruff & Hair Growth | 100% Natural, Non-Sticky, 15-Herb Nourishment - 100ml",dardgo-ayurvedic-hair-oil-for-hair-fall-dandruff-hair-growth-100-natural-non-sticky-15-herb-nour,"<p>DARDGO Ayurvedic Hair Oil for Hair Fall, Dandruff & Hair Growth | 100% Natural, Non-Sticky, 15-Herb Nourishment - 100ml</p>",DARDGO,Health & Beauty > Personal Care > Hair Care,Oil,"Ayurvedic, csv-import, category-ayurvedic-beauty",TRUE,Active,DGHO-100ML,,Size,100 ML,,,,,,,,200.00,,,TRUE,,,,,,shopify,50,DENY,400,g,TRUE,manual,,,,,FALSE,"DARDGO Ayurvedic Hair Oil for Hair Fall, Dandruff & Hair Growth | 100%","DARDGO Ayurvedic Hair Oil for Hair Fall, Dandruff & Hair Growth | 100% Natural, Non-Sticky, 15-Herb Nourishment - 100ml",,,,,,,,,,,,,,
